# code;name;componentType;supercategories;approvalstatus;catalogversion
Evaporadora_2165;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2166;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2166;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2168;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2168;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2173;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2173;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2174;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2174;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2176;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2176;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2191;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2191;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2208;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2208;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2210;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2210;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2211;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2211;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2212;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2212;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2213;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2213;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2215;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2215;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2216;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2216;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2221;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2221;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2222;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2222;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2223;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2223;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2224;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
