# code;@EAN_CODE;@WIDTH;@HEIGHT;@DEPTH;@GROSS_WEIGHT;catalogVersion
Evaporadora_2321;7891129263550;480;330;482;24,8;centralArProductCatalog:Online
Evaporadora_2326;7898554870360;1259;362;282;19,6;centralArProductCatalog:Staged
Evaporadora_2326;7898554870360;1259;362;282;19,6;centralArProductCatalog:Online
Evaporadora_2330;7891129263581;480;330;482;24,8;centralArProductCatalog:Staged
Evaporadora_2330;7891129263581;480;330;482;24,8;centralArProductCatalog:Online
Evaporadora_2331;7891129263604;480;330;482;27,3;centralArProductCatalog:Staged
Evaporadora_2331;7891129263604;480;330;482;27,3;centralArProductCatalog:Online
Evaporadora_2332;7891129499904;660;400;705;51;centralArProductCatalog:Staged
Evaporadora_2332;7891129499904;660;400;705;51;centralArProductCatalog:Online
Evaporadora_2334;7898303868686;1078;325;246;16,5;centralArProductCatalog:Staged
Evaporadora_2334;7898303868686;1078;325;246;16,5;centralArProductCatalog:Online
Evaporadora_2337;4974437737562;840;268;203;8,5;centralArProductCatalog:Staged
Evaporadora_2337;4974437737562;840;268;203;8,5;centralArProductCatalog:Online
Evaporadora_2348;7898554871718;805;285;205;7,8;centralArProductCatalog:Staged
Evaporadora_2348;7898554871718;805;285;205;7,8;centralArProductCatalog:Online
Evaporadora_2356;751320407719;1068;235;675;27,4;centralArProductCatalog:Staged
Evaporadora_2356;751320407719;1068;235;675;27,4;centralArProductCatalog:Online
Evaporadora_2381;7898554871732;957;302;223;10;centralArProductCatalog:Staged
Evaporadora_2381;7898554871732;957;302;223;10;centralArProductCatalog:Online
Evaporadora_2388;7893299913013;756;265;184;7,2;centralArProductCatalog:Staged
Evaporadora_2388;7893299913013;756;265;184;7,2;centralArProductCatalog:Online
Evaporadora_2389;7893299912856;837;307;189;8,6;centralArProductCatalog:Staged
Evaporadora_2389;7893299912856;837;307;189;8,6;centralArProductCatalog:Online
Evaporadora_2390;7893299912870;998;330;210;11,3;centralArProductCatalog:Staged
Evaporadora_2390;7893299912870;998;330;210;11,3;centralArProductCatalog:Online
Evaporadora_2391;7893299912894;998;345;210;11,6;centralArProductCatalog:Staged
Evaporadora_2391;7893299912894;998;345;210;11,6;centralArProductCatalog:Online
Evaporadora_2392;7893299912917;756;265;184;7,2;centralArProductCatalog:Staged
Evaporadora_2392;7893299912917;756;265;184;7,2;centralArProductCatalog:Online
Evaporadora_2393;7893299912931;837;308;189;8,6;centralArProductCatalog:Staged
Evaporadora_2393;7893299912931;837;308;189;8,6;centralArProductCatalog:Online
Evaporadora_2394;7893299912955;998;330;210;11,3;centralArProductCatalog:Staged
Evaporadora_2394;7893299912955;998;330;210;11,3;centralArProductCatalog:Online
Evaporadora_2395;7893299912962;998;330;210;12,5;centralArProductCatalog:Staged
Evaporadora_2395;7893299912962;998;330;210;12,5;centralArProductCatalog:Online
Evaporadora_2396;7893299912214;1200;360;265;18,5;centralArProductCatalog:Staged
Evaporadora_2396;7893299912214;1200;360;265;18,5;centralArProductCatalog:Online
Evaporadora_2397;7898461964626;1560;255;250;13,1;centralArProductCatalog:Staged
Evaporadora_2397;7898461964626;1560;255;250;13,1;centralArProductCatalog:Online
Evaporadora_2398;7898461967016;690;285;200;7,5;centralArProductCatalog:Staged
Evaporadora_2398;7898461967016;690;285;200;7,5;centralArProductCatalog:Online
Evaporadora_2415;7898554872425;1195;233;628;26,1;centralArProductCatalog:Staged
